Title;Budget;Box Office;IMDB Rating
The Shawshank Redemption;$25,000,000;$28,767,189;9.3
The Godfather;$6,000,000;$136,381,073;9.2
The Wild Robot;$78,000,000;$87,795,000;8.5
The Godfather Part II;$13,000,000;$47,834,595;9.0
Schindler's List;$22,000,000;$96,898,818;9.0
12 Angry Men;$397,751;N/A;9.0
Spirited Away;$19,000,000;$15,205,725;8.6
Dilwale Dulhania Le Jayenge;$13,200,000;N/A;8.0
The Dark Knight;$185,000,000;$534,987,076;9.0
Parasite;$11,363,000;$53,369,749;8.5
The Green Mile;$60,000,000;$136,801,374;8.6
Pulp Fiction;$8,500,000;$107,928,762;8.9
Your Name.;$0;$5,017,246;8.4
The Lord of the Rings: The Return of the King;$94,000,000;$381,878,219;9.0
Forrest Gump;$55,000,000;$330,455,270;8.8
The Good, the Bad and the Ugly;$1,200,000;$25,100,000;8.8
Goodfellas;$25,000,000;$46,909,721;8.7
Seven Samurai;$2,000,000;$781,936;8.6
Grave of the Fireflies;$3,700,000;$516,962;8.5
Cinema Paradiso;$5,000,000;$12,397,210;8.5
