Title;Budget;Box Office;guter Film
Venom: The Last Dance;$120,000,000;$175,000,000;1
Terrifier 3;$2,000,000;$59,156,753;1
The Wild Robot;$78,000,000;$232,785,520;1
The Substance;$17,500,000;$38,578,699;1
Transformers One;$75,000,000;$124,530,164;1
Joker: Folie à Deux;$195,000,000;$200,714,058;1
Alien: Romulus;$80,000,000;$350,752,564;1
Venom;$116,000,000;$856,085,151;1
Deadpool & Wolverine;$200,000,000;$1,336,816,112;1
Venom: Let There Be Carnage;$110,000,000;$506,863,592;1
Inside Out 2;$200,000,000;$1,682,636,477;1
Despicable Me 4;$100,000,000;$953,140,610;1
Beetlejuice Beetlejuice;$100,000,000;$435,300,598;1
Terrifier;$35,000;$416,322;1
Corpse Bride;$40,000,000;$118,133,252;1
Terrifier 2;$250,000;$15,740,003;1
It Ends with Us;$25,000,000;$348,276,888;1
The Count of Monte-Cristo;$46,700,000;$73,924,182;1
Smile 2;$28,000,000;$83,478,285;1
Bad Boys: Ride or Die;$100,000,000;$402,529,640;1
The Crow;$50,000,000;$13,690,814;1
The Nightmare Before Christmas;$18,000,000;$75,634,409;1
Pleasure;$1,800,000;$393,824;1
Winnie-the-Pooh: Blood and Honey 2;$415,000;$7,582,541;1
Joker;$55,000,000;$1,078,958,629;1
The Maze Runner;$34,000,000;$348,319,861;1
IF;$110,000,000;$186,240,904;1
Never Let Go;$20,000,000;$13,111,608;1
Longlegs;$10,000,000;$102,469,694;1
Subservience;$4,400,000;$159,422;1
The Garfield Movie;$60,000,000;$230,295,748;1
Kung Fu Panda 4;$80,000,000;$543,900,620;1
Kingdom of the Planet of the Apes;$160,000,000;$397,366,385;1
Coraline;$60,000,000;$172,750,668;1
Harold and the Purple Crayon;$40,000,000;$24,982,787;1
Borderlands;$115,000,000;$30,863,794;1
Beetlejuice;$15,000,000;$84,554,197;1
Speak No Evil;$15,000,000;$75,711,395;1
John Wick: Chapter 4;$90,000,000;$440,157,245;1
The Killer's Game;$30,000,000;$5,090,881;1
The Lord of the Rings: The Fellowship of the Ring;$93,000,000;$871,368,364;1
Godzilla x Kong: The New Empire;$150,000,000;$567,156,493;1
A Quiet Place: Day One;$67,000,000;$260,894,737;1
Twisters;$155,000,000;$369,590,675;1
Furiosa: A Mad Max Saga;$170,000,000;$172,775,791;1
Spider-Man: No Way Home;$200,000,000;$1,921,847,111;1
Migration;$72,000,000;$298,776,052;1
Dragonkeeper;$25,600,000;$5,427,272;1
xXx;$70,000,000;$277,448,382;1
Harry Potter and the Prisoner of Azkaban;$130,000,000;$789,804,554;1
Strange Darling;$4,000,000;$3,504,687;1
Avengers: Infinity War;$300,000,000;$2,052,415,039;1
Haikyu!! The Dumpster Battle;$5,000,000;$89,070,263;1
Barbie;$145,000,000;$1,445,638,421;1
Harry Potter and the Sorcerer's Stone;$125,000,000;$976,475,550;1
Fast X;$340,000,000;$704,709,660;1
The Godfather;$6,000,000;$245,066,411;1
Kill;$3,000,000;$5,400,000;1
Scream;$14,000,000;$173,046,663;1
The Shawshank Redemption;$25,000,000;$28,341,469;1
Spider-Man: Across the Spider-Verse;$100,000,000;$690,897,910;1
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;$180,000,000;$745,013,115;1
Transformers: Rise of the Beasts;$195,000,000;$439,000,000;1
The Batman;$185,000,000;$771,000,000;1
The Forge;$5,000,000;$35,329,740;1
Scary Movie;$19,000,000;$278,019,771;1
The Hobbit: The Battle of the Five Armies;$250,000,000;$956,019,788;1
Smile;$17,000,000;$217,408,513;1
Dune: Part Two;$190,000,000;$711,844,359;1
Harry Potter and the Chamber of Secrets;$100,000,000;$876,688,482;1
Inside Out;$175,000,000;$857,611,174;1
The Conjuring;$13,000,000;$320,415,166;1
The Super Mario Bros. Movie;$100,000,000;$1,362,000,000;1
Twilight of the Warriors: Walled In;$38,400,000;$95,335,412;1
Late Night with the Devil;$2,000,000;$11,902,746;1
Wish;$175,000,000;$254,997,360;1
Interstellar;$165,000,000;$701,729,206;1
Trap;$30,000,000;$82,406,909;1
Taken 3;$48,000,000;$325,800,000;1
Blink Twice;$20,000,000;$43,555,474;1
Anora;$3,250,000;$2,287,279;1
Puss in Boots: The Last Wish;$90,000,000;$484,700,000;1
Scouts Guide to the Zombie Apocalypse;$15,000,000;$14,900,000;1
The Arctic Convoy;$6,600,000;$3,637,940;1
Avatar: The Way of Water;$460,000,000;$2,320,250,281;1
Harry Potter and the Goblet of Fire;$150,000,000;$895,921,036;1
Wonka;$125,000,000;$632,302,312;1
Fifty Shades of Grey;$40,000,000;$569,651,467;1
The Marvels;$274,800,000;$207,089,999;1
The Avengers;$220,000,000;$1,518,815,515;1
Sonic the Hedgehog 2;$110,000,000;$405,421,518;1
Halloween;$325,000;$70,260,597;1
Elemental;$200,000,000;$496,000,000;1
Abigail;$28,000,000;$42,241,257;1
Monsters, Inc.;$115,000,000;$579,700,000;1
The Ministry of Ungentlemanly Warfare;$60,000,000;$27,450,915;1
The Mouse Trap;$800,000;$5,737;1
Taken;$25,000,000;$226,830,568;1
The First Omen;$30,000,000;$53,845,880;1
Jurassic World Dominion;$165,000,000;$1,001,978,080;1
