Title;Budget;Box Office;guter Film
The Hunger;$10,000,000;$10,200,000;0
The Return of Godzilla;$6,000,000;$11,000,000;0
Think Like a Man;$12,000,000;$96,070,507;0
The Boat That Rocked;$50,000,000;$36,348,784;0
Teeth;$2,000,000;$2,340,110;0
Fred Claus;$100,000,000;$97,800,000;0
Out of Darkness;$1,500,000;$1,987,281;0
Dolphin Boy;$4,000,000;$2,613,252;0
Deep Sea;$28,700,000;$136,090,000;0
Daddy Day Camp;$6,000,000;$18,197,398;0
The Last Days on Mars;$10,600,000;$24,084;0
Airport 1975;$3,000,000;$47,000,000;0
Raayan;$11,900,000;$15,000,000;0
Antebellum;$15,000,000;$7,060,384;0
Mini's First Time;$6,000,000;$156,318;0
Boogeyman 2;$4,500,000;$1,798,418;0
Little Manhattan;$385,373;$1,117,920;0
Godzilla vs. Destoroyah;$10,000,000;$18,000,000;0
Things to Do in Denver When You're Dead;$8,000,000;$529,766;0
Stitches;$100,000;$95,000;0
Fortress;$8,000,000;$6,739,141;0
The Trials of Cate McCall;$7,000,000;$249,601;0
Valentine's Day;$52,000,000;$216,500,000;0
Home Again;$12,000,000;$27,020,284;0
Dragon Wars: D-War;$32,000,000;$75,108,998;0
My Darling Clementine;$2,000,000;$2,750,000;0
Adaptation.;$19,000,000;$32,800,000;0
A Real Job;$8,200,000;$3,452,861;0
Mermaids;$31,000,000;$35,419,397;0
Pi;$60,000;$3,221,152;0
Frankie and Johnny;$29,000,000;$22,773,535;0
Star Trek: Generations;$38,000,000;$118,071,125;0
Midnight Special;$18,000,000;$7,112,282;0
The Round Up;$20,000,000;$25,346,148;0
Grandma's Boy;$5,000,000;$6,538,177;0
Nightbreed;$11,000,000;$8,862,354;0
Spacewalk;$7,075,038;$9,868,942;0
Boomerang;$40,000,000;$70,100,000;0
Mongol: The Rise of Genghis Khan;$18,000,000;$26,527,510;0
Laura;$1,020,000;$2,000,000;0
Raise the Titanic;$36,000,000;$7,000,000;0
Relic;$1,229,578;$3,238,539;0
The American President;$62,000,000;$107,879,496;0
Armored;$20,000,000;$22,942,221;0
Hatchet II;$2,500,000;$156,190;0
We Die Young;$4,000,000;$143,837;0
Troll;$1,100,000;$5,450,815;0
Abigail;$7,000,000;$1,940,234;0
The Adventures of Milo and Otis;$7,520,000;$13,299,749;0
What If;$11,000,000;$8,500,000;0
The Queen;$15,000,000;$123,384,128;0
Respect;$55,000,000;$31,217,372;0
My Best Friend's Wedding;$38,000,000;$299,288,605;0
Furry Vengeance;$35,000,000;$36,236,710;0
Death Wish 4: The Crackdown;$5,000,000;$6,880,310;0
Black Rain;$30,000,000;$134,212,055;0
Righteous Kill;$60,000,000;$79,498,846;0
Air Bud;$3,000,000;$23,144,499;0
Boiler Room;$7,000,000;$28,780,255;0
Hellraiser: Bloodline;$4,000,000;$16,675,000;0
Beerfest;$17,500,000;$19,179,969;0
The Full Monty;$3,500,000;$257,850,122;0
The Quest;$30,000,000;$57,400,547;0
Sanju;$21,918,618;$67,414,985;0
The Comancheros;$4,260,000;$3,500,000;0
Joe Dirt;$17,700,000;$30,987,695;0
The Son of No One;$15,000,000;$618,425;0
Bandits;$75,000,000;$67,631,903;0
Nightwatch;$10,000,000;$1,179,002;0
Moonstruck;$15,000,000;$80,640,528;0
Shaft;$1,125,000;$12,121,618;0
People Like Us;$16,000,000;$12,434,778;0
Marry Me;$23,000,000;$44,000,000;0
Good Night, and Good Luck.;$7,000,000;$54,600,000;0
Jesus Revolution;$15,000,000;$52,300,000;0
Joe Bell;$3,500,000;$1,700,000;0
Charlie Wilson's War;$75,000,000;$119,483,446;0
The Triplets of Belleville;$9,500,000;$14,776,760;0
Two Mules for Sister Sara;$2,500,000;$5,050,000;0
Suddenly, Last Summer;$3,000,000;$9,000,000;0
My Bloody Valentine;$2,200,000;$5,672,031;0
Bulletproof Monk;$52,000,000;$37,713,879;0
Invasion U.S.A.;$12,000,000;$17,536,256;0
Snow Buddies;$4,000,000;$50,802,372;0
Explorers;$25,000,000;$9,900,000;0
About My Father;$29,100,000;$18,167,819;0
Death Wish: The Face of Death;$5,000,000;$1,702,394;0
About a Boy;$27,000,000;$129,000,000;0
The Boys from Brazil;$12,000,000;$19,000,000;0
Yamakasi;$15,000,000;$1,297,401;0
Stolen Kisses;$350,000;$1,500,000;0
Aguirre, the Wrath of God;$370,000;$37,041;0
The Big Sleep;$250,000;$10,682,000;0
Seeking Justice;$17,000,000;$14,089,528;0
8 Million Ways to Die;$18,000,000;$1,305,114;0
Master Gardener;$4,100,000;$1,506,008;0
War and Peace;$6,000,000;$12,500,000;0
Terms of Endearment;$8,000,000;$108,423,749;0
Sorcerer;$22,000,000;$9,000,000;0
Problemista;$12,000,000;$2,503,154;0
